MAE,RMSE,SFN,MAPE
216.51094,307.3177,1.7846458,0.4951916
360.37018,456.09222,1.9155028,1.2093304
126.14778,196.2195,1.203193,0.34705654
357.32666,456.2143,1.9396362,1.1773485
118.340706,174.51244,1.1061301,0.35051748
234.31009,329.64297,1.5396497,0.734512
110.21295,166.14691,1.0586989,0.29234973
218.19557,311.1268,1.5043252,0.6807001
109.93926,164.36305,1.0869982,0.29773667
223.26091,309.1275,1.3972547,0.7351537
118.82349,180.29857,1.1012974,0.26950064
239.1247,319.61087,1.4270756,0.7910071
125.45967,189.7366,1.129786,0.27726316
250.14333,312.61816,1.3217065,0.8642174
97.10085,147.86452,1.0100094,0.23764187
219.56468,281.6258,1.2705443,0.7585932
119.40743,172.299,1.0397142,0.28782994
221.96712,279.38855,1.2511456,0.7505064
110.215034,168.53226,1.0593685,0.25058654
252.43947,320.1141,1.3949959,0.816611
112.873795,170.69215,1.0591735,0.25627095
220.69664,281.95425,1.3413477,0.70986056
108.98448,157.2866,1.0152888,0.30103362
190.92194,259.02032,1.257283,0.64436203
112.45261,174.65634,1.0648457,0.24463822
195.86063,241.03687,1.1547184,0.65437627
91.1687,133.84889,0.97983205,0.23480174
173.726,216.92792,1.0742235,0.5713094
109.84141,173.29675,1.1080065,0.2360859
145.20317,187.77953,1.038547,0.48816404
92.88299,139.20761,0.97261226,0.23997708
108.67311,145.3188,0.92959243,0.34821203
90.97184,141.34937,0.96924573,0.2144368
139.70091,181.5363,1.0366123,0.46474314
95.77715,148.30629,0.9875293,0.22029516
127.38604,178.35245,1.0269554,0.43921107
87.91948,132.29567,0.9585217,0.21427247
195.24129,249.18697,1.2918396,0.60395116
90.656425,142.68443,0.97239244,0.21212438
196.20705,269.68347,1.432682,0.59944046
96.012215,134.00487,0.9412266,0.2883
115.71203,161.65323,1.0460985,0.33767527
135.78593,205.30565,1.1992197,0.29187304
368.5453,465.36862,1.9967664,1.2108204
125.05514,188.413,1.1783583,0.27085695
139.09058,191.13547,1.0886989,0.4442583
89.191864,135.15193,0.938107,0.24846043
107.12328,153.39563,1.0189321,0.32738158
78.26816,110.9183,0.9024836,0.21727854
271.94687,367.25076,1.7863922,0.7669111
123.36721,182.5401,1.1448312,0.35178682
103.707565,140.81194,0.94237006,0.31306642
83.220764,119.373146,0.983865,0.21405423
279.20956,382.423,2.0269897,0.7887274
92.37337,129.79991,0.91939366,0.27673084
99.59901,139.19017,0.9430523,0.2862326
87.498146,124.68817,0.99300456,0.2325779
235.16063,326.48062,1.596906,0.6424488
249.48312,320.3435,1.5976077,0.7418081
95.75797,138.6008,0.95498645,0.2688039
87.06121,128.05977,1.00575,0.23726875
176.3155,248.16345,1.2992697,0.50337464
91.603645,131.03539,0.90231025,0.27999622
98.61231,137.4458,0.91733015,0.28693444
134.57602,187.45216,1.1484649,0.31422737
274.65775,386.92007,1.9825368,0.76577055
227.73766,322.64648,1.951252,0.6724173
95.99298,137.18726,0.9244406,0.26879963
136.18336,190.56892,1.1213319,0.4134726
208.35115,292.92462,1.4809513,0.5984866
121.51605,183.9916,1.1681188,0.34258094
101.31636,141.0637,0.926861,0.30618882
80.85111,122.59277,0.9550061,0.21329959
205.49673,277.72202,1.3873503,0.5756404
147.4988,201.36005,1.1757545,0.43601513
92.08321,135.63347,0.9179619,0.24254732
89.48437,121.38231,0.91970897,0.27816048
193.08238,255.18152,1.2531759,0.55632734
149.46242,204.92839,1.1494629,0.45861155
86.606094,127.8863,0.8946998,0.2367001
77.93167,115.54592,0.90618074,0.20247425
226.37932,323.30396,1.5175409,0.63159746
127.164215,167.56302,0.9590834,0.41285145
82.12996,122.56548,0.8927687,0.21490051
86.36806,124.55359,1.040981,0.23253225
141.50458,194.63579,1.044507,0.42296892
131.19092,183.4087,1.0636835,0.3666146
102.63749,136.36417,0.9312322,0.31702462
112.04313,167.96635,1.0880871,0.29885313
230.76674,324.26724,1.6899021,0.6064098
311.33807,397.6811,2.1936624,0.9057394
106.00343,148.09828,0.9313928,0.338281
91.70914,128.08466,0.88626087,0.28652987
174.1688,238.08858,1.1173588,0.53175807
299.88834,377.63022,1.807965,0.9023227
109.5777,186.87366,1.0938814,0.30183163
103.545006,162.07603,1.0022981,0.26391158
192.8901,249.07773,1.2701983,0.57966083
